2024-07-11 00:07:52.661 | http-nio-8080-exec-1           | INFO  | com.example.finalproject.controller.ProductController                   -  --- Request to endpoint -- top10 
2024-07-11 00:07:52.662 | http-nio-8080-exec-1           | INFO  | com.example.finalproject.controller.ProductController                   -  --- Request parameters Status  = PAID
2024-07-11 00:07:52.664 | http-nio-8080-exec-1           | INFO  | com.example.finalproject.service.ProductService                         -  --- Execute service method  getTop10Products with parameters status = PAID
2024-07-11 00:08:17.468 | http-nio-8080-exec-3           | INFO  | com.example.finalproject.controller.ProductController                   -  --- Request to endpoint -- findProductsByFilter 
2024-07-11 00:08:17.469 | http-nio-8080-exec-3           | INFO  | com.example.finalproject.controller.ProductController                   -  --- Request parameters CategoryId = 1  minPrice = 10.22 maxPrice = 20 hasDiscount = true sortString = name,desc
2024-07-11 00:08:17.472 | http-nio-8080-exec-3           | INFO  | com.example.finalproject.service.ProductService                         -  --- Execute service method  findProductsByFilter with parameters minPrice = 10.22 maxPrice = 20
2024-07-11 00:08:17.473 | http-nio-8080-exec-3           | INFO  | com.example.finalproject.service.ProductService                         -  --- isDiscount = true sort = name,desc
2024-07-11 00:10:13.207 | SpringApplicationShutdownHook  | INFO  | org.quartz.core.QuartzScheduler                                         -  Scheduler quartzScheduler_$_NON_CLUSTERED paused.
2024-07-11 00:10:13.211 | SpringApplicationShutdownHook  | INFO  | org.springframework.scheduling.quartz.SchedulerFactoryBean              -  Shutting down Quartz Scheduler
2024-07-11 00:10:13.211 | SpringApplicationShutdownHook  | INFO  | org.quartz.core.QuartzScheduler                                         -  Scheduler quartzScheduler_$_NON_CLUSTERED shutting down.
2024-07-11 00:10:13.211 | SpringApplicationShutdownHook  | INFO  | org.quartz.core.QuartzScheduler                                         -  Scheduler quartzScheduler_$_NON_CLUSTERED paused.
2024-07-11 00:10:13.211 | SpringApplicationShutdownHook  | INFO  | org.quartz.core.QuartzScheduler                                         -  Scheduler quartzScheduler_$_NON_CLUSTERED shutdown complete.
2024-07-11 00:10:13.215 | SpringApplicationShutdownHook  | INFO  | org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean      -  Closing JPA EntityManagerFactory for persistence unit 'default'
2024-07-11 00:10:13.218 | SpringApplicationShutdownHook  | INFO  | com.zaxxer.hikari.HikariDataSource                                      -  HikariPool-1 - Shutdown initiated...
2024-07-11 00:10:13.227 | SpringApplicationShutdownHook  | INFO  | com.zaxxer.hikari.HikariDataSource                                      -  HikariPool-1 - Shutdown completed.
2024-07-11 00:10:55.085 | background-preinit             | INFO  | org.hibernate.validator.internal.util.Version                           -  HV000001: Hibernate Validator 8.0.1.Final
2024-07-11 00:10:55.142 | main                           | INFO  | com.example.finalproject.FinalProjectApplication                        -  Starting FinalProjectApplication using Java 21.0.1 with PID 128601 (/home/radomir/IdeaProjects/MyLessons/Final-Project/target/classes started by radomir in /home/radomir/IdeaProjects/MyLessons/Final-Project)
2024-07-11 00:10:55.144 | main                           | INFO  | com.example.finalproject.FinalProjectApplication                        -  No active profile set, falling back to 1 default profile: "default"
